Location,location,feature_class,latitude,longitude,Closest Ocean Basin,Distance to Nearest Ocean
Viikinmäki,exact,P,60.22091,24.98757,24,41.01125451636855
Sialkot,exact,P,32.49268,74.53134,15,3.049831682441604
River–Sea,fuzzy,P,-33.95,25.06667,19,64.1075682225881
Narsaq,exact,P,60.91298,-46.05055,3,52.02566367336161
European Union,exact,A,50.83857,4.37599,3,38.648361026231626
Tokara Strait,exact,H,30.14089,130.38548,9,41.41653886772494
Lesser Antilles,exact,T,14.66667,-61.01667,2,55.21546837620218
Almeria,exact,P,36.83814,-2.45974,22,37.770521284770055
Caribbean Coast,exact,A,14.0,-84.25,9,61.78202508059306
Gangmen bay,Gangmen,P,19.15044,108.66739,9,42.65350497136321
Orange County,exact,L,28.4264,-81.4656,3,8.847880961436
Cambridge Bay,exact,S,69.10805,-105.13833,21,45.84153772855419
Arafura,exact,H,-9.5,134.5,11,0.0
South China Sea,exact,H,15.0,115.0,8,77.25460981329987
Pasaran Island,fuzzy,T,5.0346,120.015,11,74.57843288296567
Rambut Island,fuzzy,T,32.3325,-64.73028,2,28.533212708032245
Central Mediterranean,Central,L,55.75383,37.6224,3,29.251884154669053
Nainital town,Nainital,A,29.38903,79.42012,15,14.563232959058881
Chubut Province,exact,A,-44.0,-69.0,7,68.3888204659863
Deylam,exact,A,30.025,50.34333,25,54.91906696366182
NCC,exact,S,34.821,127.67293,9,39.0408897061797
Philippines,exact,A,13.40882,122.56155,9,12.128458770732273
Mombasa,exact,P,-4.05466,39.66359,17,52.737398411098944
Adour,exact,P,43.18381,0.09905,22,118.62152055267347
Manado Bay,exact,S,1.54945,124.92588,10,47.65719754120522
suaeda,fuzzy,L,20.58333,30.31667,15,21.219193398612873
Coromandel Peninsula,exact,T,-36.83333,175.58333,13,37.80244266283652
Tambak Lorok,fuzzy,H,2.2994,98.87,17,46.768038235818736
Adriatic,exact,A,44.11538,15.23735,22,47.60103828481626
Pitcairn,exact,A,-25.06667,-130.1,12,62.76243404686398
Hangjiang river,Hangjiang,P,26.8593,114.01,9,62.978983677352666
White Seas,fuzzy,H,65.5,38.0,21,23.055831771058532
Uttar Para,exact,A,23.18945,90.94157,15,56.78648463352846
Erasinos,exact,H,37.92503,24.00075,22,64.5155744128027
Gabes Gulf,exact,H,34.0,10.41667,22,56.122530923002344
Milazzo,exact,P,38.22008,15.24023,22,38.4942623414806
La Spezia Gulf,exact,H,44.06711,9.87534,22,56.65420113843375
Manila Bay,exact,H,14.54813,120.75248,9,27.69923233963664
Hai Tien,exact,A,20.38465,106.52882,9,13.17314721132839
Laurentian Great Lakes,exact,H,45.68751,-84.43753,3,21.40922664660515
Porto Covo,exact,P,37.85256,-8.79018,3,46.78739413194268
Teluk Aling,exact,H,5.46896,100.2,17,33.38466263871687
Port Reitz,exact,H,-4.05406,39.60222,17,50.86523670104801
Sonae Island,fuzzy,T,-2.0,33.28333,17,60.58575049740927
Surma River,exact,H,25.00887,91.34877,15,56.68936036205502
Bocana,exact,P,10.0116,122.7217,27,59.479108945490395
Puget Sound,exact,L,47.833,-122.435,9,37.34645629824618
Kerkennah Islands,exact,T,34.71553,11.1904,22,37.11075734235465
SE Brazil,Sé,P,6.51115,1.82831,5,36.292518514119756
Limassol,exact,P,34.68406,33.03794,22,46.98726867089831
West Pacific,exact,L,39.28,-155.26,8,31.997035722984943
Saudi Arabian Gulf,Saudi,P,28.06703,83.33765,15,50.70081185545201
Indonesian Throughflow Water,Indonesia,A,-5.0,120.0,11,78.46180953138773
Huguangyan Maar Lake,Huguang Hu,H,21.14645,110.28025,9,45.427212441068505
Bledug Kuwu,exact,H,-7.1176,111.1214,11,59.59543509912249
Yangjiang,exact,P,21.85563,111.96272,9,62.04705809917229
Selenga River,fuzzy,H,49.26111,100.67917,3,29.560804731737736
Jinzhou Bay,exact,S,40.93483,121.27629,9,51.8967754187666
South Boulder Creek,exact,H,48.83796,-118.18083,9,44.28930901415868
SE Crete,Sé,P,6.51115,1.82831,5,36.292518514119756
Bega,exact,P,-36.67392,149.84178,19,36.12750116430412
British Columbia's,fuzzy,A,53.99983,-125.0032,9,64.3024500624003
Musi,exact,L,40.3139,44.67908,3,25.653949572214668
Heiligensee,exact,H,54.22379,12.17413,24,37.26988252090279
Davis,exact,P,38.54491,-121.74052,9,21.51166931250387
Lake Michigan,exact,H,44.00778,-86.75698,3,58.43385156543605
Bulgaria,exact,A,42.66667,25.25,22,27.611701308854233
Ganghwa Island,fuzzy,T,-18.01667,21.38333,19,55.137836582052266
Mersin bay,Mersin,P,36.81196,34.63886,22,36.83365086270029
Monument,exact,P,44.81931,-119.4211,9,36.04987308832091
Barletta,exact,P,41.31429,16.28165,22,27.532437120945907
Florence,exact,P,43.77925,11.24626,22,37.16313068870253
Pasar Bengkulu,exact,A,-3.77639,102.26361,11,40.406245099441236
Ems,exact,P,50.33544,7.71369,3,23.749818571888035
Anchor Bay,exact,P,38.80269,-123.57779,9,34.328791421473824
Saija,exact,P,67.08889,28.81709,21,47.69612315518811
Altai,exact,A,51.0,87.0,3,65.5900364504518
Strait Hormuz (,exact,H,26.56667,56.25,15,25.952173931606573
Algeria,exact,A,28.0,3.0,3,74.09200491183701
Tanjong Karang,exact,P,3.4242,101.1849,11,35.97487667832546
Telashi Lake,Telyashi,P,57.9789,45.5457,3,53.32028201977425
Albegna,exact,H,42.5,11.18333,22,25.961066328107513
Macaronesian Region,Macaronesia,L,30.86667,-17.23333,2,48.08993241168641
Kendari Bay,fuzzy,H,-3.98194,122.55333,11,53.91499365025991
Bang Pu,exact,P,32.94083,117.36083,9,50.717580639017044
Guangdong,exact,A,23.5,113.25,9,25.493103709492807
Guiana,exact,L,4.0,-60.0,5,78.51852969413663
Patagonian Shelf,Patagonia,L,-44.0,-68.0,7,68.3888204659863
Edmonton,exact,P,53.55014,-113.46871,9,5.946607122082777
Sarawak,exact,A,2.5,113.5,11,0.0
Qi'ao Island,exact,T,-70.5,3.0,20,18.558762285853927
Dagu River,exact,H,36.18583,120.11778,9,48.911540030330336
Dir,exact,L,33.84117,-4.78931,3,46.43225664202998
Lambra,exact,P,24.10929,73.14562,15,56.366510031421704
Peninsular Malaysia,exact,L,4.0,102.0,11,78.51852969413663
Raquette River,exact,P,44.95116,-74.7938,3,55.27596426993273
Makapu'u,exact,A,20.78194,-156.06306,8,55.22729766385312
Lake Yambo,exact,H,14.1186,121.366,9,44.79996824185757
Indian Ocean Sector,Indian,L,45.75011,-77.44949,3,28.086967682327398
Peruvian Economic Exclusive Zone,Peru,A,-10.0,-75.25,11,61.96267632831386
Utqiaġvik,exact,P,71.29058,-156.78872,21,25.43938707793242
MediterraneanSea,fuzzy,H,35.0,20.0,22,71.78085647499321
Rockall Trough,exact,U,57.0,-12.0,2,63.21108208410357
Mahe Plateau,fuzzy,T,0.2,112.5,11,144.55340463792635
Hunter,exact,L,-32.77255,151.30272,13,35.49245812661287
Phewa,exact,H,28.21692,83.94512,15,53.73884390731601
Sikka,exact,P,22.43218,69.84158,15,35.90033760344428
Šventoji,exact,P,56.0261,21.08411,24,58.62084622698518
Xalapa,exact,P,19.53124,-96.91589,3,43.72629988511788
Republic Palau,exact,A,7.503,134.621,10,13.34360464429523
Quequén Harbour,fuzzy,H,74.83918,-80.10818,21,39.43469895056126
Amundsen,exact,L,48.65019,-82.91652,3,34.898904562221105
Osaka,exact,P,34.69379,135.50107,9,21.54868740308951
Hangzhou Great Bay Area,Hangzhou,P,30.29365,120.16142,9,39.761643153042904
Bosnia Herzegovina,exact,A,44.25,17.83333,22,38.40105663255409
Yangtze River,exact,H,31.76986,121.04664,9,52.36974201149076
Thu Dau Mot,exact,P,10.9804,106.6519,9,55.936277315990225
Humber Bay,exact,P,43.63611,-79.49111,3,15.15167973187754
BoB,exact,L,33.90968,73.26161,15,50.61109726192401
Catalan Sea,fuzzy,H,-30.76667,-56.23333,7,39.118225628007046
Lake Poyang,exact,H,29.08999,116.29833,9,49.60855433356667
Catalonia,exact,L,42.0,2.0,22,69.17158393851535
Mngazana Estuary,Mngazana,P,-31.63943,29.30982,19,23.76965063517975
East Java,exact,A,-7.7394,112.5099,11,26.642417344906686
Tocagua Lake,fuzzy,H,45.22976,-79.36739,3,31.785086588050724
Selva Maya,Selva,P,39.75504,2.90069,22,44.5179149680092
Zostera,fuzzy,T,37.79829,23.78786,22,41.7422648631038
TX,exact,L,30.26225,-97.65435,3,30.300400101234235
Imandra,exact,P,67.84887,33.2603,21,40.0920124226606
Dong’ao Island,exact,T,22.02094,113.70525,9,57.30373103454023
South Islands,exact,A,10.75776,92.52136,14,28.756509614207477
Keelung River,fuzzy,H,25.11183,121.46591,9,43.298358274821354
Sandpit,exact,H,48.03944,-91.78927,3,55.507122986959786
Tri Trang Beaches,fuzzy,S,7.88451,98.27271,17,49.55139713848114
Greater Bay Area,fuzzy,P,29.62965,-95.27804,3,25.858830156234696
Lampung,exact,P,-5.42917,105.26111,11,27.590633876179204
Region Piura,exact,A,-5.0,-80.33333,11,58.580430682996315
Kyoto,exact,P,35.02107,135.75385,9,58.02812108418461
Flanders,exact,L,45.37789,-71.55096,3,14.148179833591982
Sonoran Desert,exact,L,32.95,-112.4,9,50.90461404743307
Lucknow,exact,P,26.83928,80.92313,15,56.48871216025936
Dehradun,exact,A,30.28549,78.07225,15,47.45707308524186
Greenland Basin,exact,U,73.5,-5.0,21,15.790486646941503
Terrebonne Bay,exact,H,29.14134,-90.56259,3,40.34017291978025
Sea Level,exact,A,34.87267,-76.37348,3,43.0233967255804
Huron,exact,H,44.64083,-81.76806,3,26.38386392588517
Gully,exact,A,18.31801,-76.96051,2,52.63175952799584
Tel Aviv,exact,P,32.08088,34.78057,22,53.548803215338694
Muara beach,fuzzy,T,-36.5318,150.0679,19,38.77676575112982
Dongting Lake,exact,H,29.2928,112.98946,9,52.71879828597366
Region,exact,L,32.62857,51.6314,25,18.86847199176961
Tokyo Bay,exact,S,35.55226,139.77969,9,25.969337091662098
NZ,exact,P,26.53878,57.48655,15,4.515014721282451
Dommel River,exact,H,51.67586,5.29438,3,24.169958306277724
Belize,exact,P,17.49952,-88.19756,3,32.073387622401064
Po River,exact,A,4.58333,-8.0,5,56.19210142812347
Liao Estuary,Li’ao,H,29.63128,121.52057,9,14.732613386673531
Great Shearwaters,Great River,H,18.44917,-77.99199,2,52.19434871764443
Çıldır Lake,exact,H,41.05204,43.24594,23,54.14681475744618
Peter Great Bay,exact,H,42.77386,132.60415,9,31.621174283731328
East Mingulay Special Area Conservation,East,A,65.0,-15.0,3,60.27283649520755
Bohai Rim Economic Circle,Bohai,P,28.03548,119.79378,9,59.12466439047355
Papua,exact,A,-6.0,147.0,11,78.39324014078403
La Herradura,exact,A,13.65,-88.93333,9,49.719146032658976
Drowned Cayes,fuzzy,T,17.46792,-88.07997,3,44.690056691360645
Lake Ladoga,exact,H,61.0,31.5,24,55.597463322278735
Laguna,exact,P,28.4853,-16.32014,2,17.652980920036043
James River,exact,L,37.58808,-79.44468,3,10.941262205738782
Core Zone,Core,P,39.68008,-80.10729,3,39.158050268278224
Zealand Odde,Zealand,L,49.85004,-92.76702,3,43.40669632845747
Gafos,exact,P,47.16139,9.52124,3,37.68572529585373
Timbiqui River,fuzzy,H,-20.03333,-40.33333,7,54.72626472852652
British Overseas Territories,Morant,P,18.10786,-77.201,2,53.82989119713218
Musi River Estuary,Musi,L,40.3139,44.67908,3,25.653949572214668
Rouen,exact,P,49.44313,1.09932,3,29.63456352310223
Santa Monica Bay,exact,H,33.93501,-118.46674,9,48.46862394783301
Ashmore Reef,exact,L,-12.24046,123.09331,18,52.763929690599454
Portsmouth,exact,P,43.07704,-70.75766,3,51.44743052687824
Batu Penganten Beach,Batu,P,-7.87,112.52833,11,41.26039550543662
Pulau Songsong,exact,T,5.81168,100.29594,17,41.36396888761571
Central GBR,fuzzy,P,-25.96528,32.57778,19,52.32010835736222
North Pacific Subtropical Convergence Zone,Grande Região Norte,L,-4.0,-60.0,5,78.51852969413663
Luwu Timur Regency,exact,A,-2.5321,121.12305,11,42.02636891143886
Qinzhou Bay,fuzzy,H,21.66667,108.61667,9,22.113215705170177
Somerset Long Bay,Somerset,P,41.76955,-71.12866,3,43.02018834512349
Labuan,exact,A,5.33333,115.2,11,38.03075157294984
Galápagos Islands,exact,T,0.0,-90.5,10,166.7923899668381
Nakagawa,exact,P,44.81448,142.07816,9,48.33278953102136
European Coast,European,S,48.92699,31.47799,23,47.50657531675962
Xiamen,exact,P,24.47979,118.08187,9,42.370699767419744
Kyêbxang Co,exact,H,32.45096,89.99456,15,46.71222571261724
SE Pacific,Sé,P,6.51115,1.82831,5,36.292518514119756
Sumba,exact,L,-11.21925,20.05098,7,58.05792403586705
Bruneau,exact,L,49.36688,-77.21614,3,25.307306869224583
Haida Gwaii,exact,T,53.00403,-132.03425,8,63.257341509358156
Lanzarote,exact,S,28.95027,-13.60556,2,51.11485331808746
Muara Angke Jakarta Bay,Muara,P,-6.25361,107.70611,11,35.62843278175427
Jiaojiang,exact,A,28.68472,121.44861,9,21.143867887479388
Amapá,exact,A,1.0,-52.0,5,78.61720677100749
Zhoushan City,fuzzy,A,22.55358,113.3755,9,14.10729204304582
Nanji Mountain Nature Reserve,Nanji,L,26.93425,117.33607,9,50.95763238322052
Northern European,fuzzy,L,61.68987,2.90039,21,29.904519861598697
Mida,exact,L,-3.29793,39.95698,17,55.47821465028624
Koreo,exact,P,-6.40694,106.68083,11,22.500576964123244
Central Visayas,exact,A,10.35815,123.87085,9,43.51467309624433
Santa Cruz,exact,P,-17.78629,-63.18117,7,46.419885916314556
Lianyungang,exact,P,34.59845,119.21556,9,28.256981836484417
Middle Tisza,Middle,P,4.5272,-8.00455,5,55.00388567957267
Pallikaranai,exact,P,12.9377,80.2153,15,57.639953458350746
Bira Island,exact,T,37.22832,9.79671,22,40.00273414158091
New York Bight,Lakefront Airport,S,30.03593,-90.02561,3,68.83579578946784
Watanabe,exact,P,33.58497,130.40444,9,12.950052583913743
Adyar,exact,P,16.23285,-3.56579,3,30.523720400008305
Pearl river,exact,P,41.05899,-74.02181,3,63.25681237337587
Asia,exact,L,29.84064,89.29688,15,42.65939787278018
Tanjung Piai,exact,T,1.2632,103.5126,11,26.368185309488805
Poompuhar,exact,A,8.58008,81.20319,17,33.83072166529434
Ras Mohamed,exact,T,35.16983,-4.47481,3,36.78426885023998
Palmo Tostão,Palmo,L,-11.92333,-77.13778,13,61.409899388480895
Jianli,exact,P,37.44361,116.92361,9,37.90582113446564
Tolo Harbour,exact,H,22.44214,114.21151,9,30.333130716259934
Pearl,exact,A,47.51951,-52.81234,3,23.55938817972181
Eastern Ionian Sea,Eastern,A,19.31667,-81.13333,2,43.52406827164897
Ciénaga Grande,exact,H,8.33333,-74.5,5,18.53285842384874
Saint Peter Saint Paul Archipelago,Saint,P,10.91667,38.65,26,49.1447569137768
Sidi Ifni(29,fuzzy,A,29.37075,-10.16328,3,35.634938960662424
NPO,exact,S,-0.34887,111.748,11,130.93580091865746
Huatulco Bay,exact,S,15.77532,-96.26257,9,39.7944235802392
Honduras,exact,A,15.0,-86.5,9,55.59746332227909
Gansu Province,exact,A,37.75,102.75,9,35.461614517643156
Sidoarjo,exact,P,-7.4478,112.7183,11,24.7576531959953
Wadden Sea,exact,H,53.57911,6.95262,3,31.175642560453834
Island,exact,P,-12.15681,96.82251,18,51.80418015709739
Cape Floral Kingdom,Cope,L,-39.07665,-72.66747,13,49.23128961361616
Jinsha River,Jinsha,P,26.54087,118.34218,9,16.346630700079405
WTAO,exact,S,37.75422,-89.32064,3,32.38175782563875
Yangon,exact,P,16.80528,96.15611,15,49.94424177628777
Nyali,exact,P,-5.08333,39.71667,17,52.174037011244344
Sumbawa,exact,T,-8.75,118.0,11,61.59807972165343
Wrangel Island,exact,T,71.24436,-179.38477,21,28.718978489760136
Sorong,exact,P,-0.87956,131.26104,11,73.92769400597024
Gallatin River,exact,H,45.93882,-111.49247,9,48.79805925711055
Indian Ocean,exact,H,-10.0,70.0,16,78.00165893314876
OMAZ,exact,S,24.864,53.07513,25,58.99961985656592
Egadi Islands,exact,T,37.96667,12.26667,22,55.80089192168794
Santa Luzia,exact,A,-15.46388,-39.27671,7,24.262533159358675
Turbidity Maximum Zone,Saint-Maximin,P,49.22182,2.45359,3,31.11426833883226
Birmingham,exact,P,52.48142,-1.89983,3,27.149371842956413
Pidie,exact,A,5.15,96.21667,17,49.986322900041955
Greater Melbourne Area,Greåker,P,59.26598,11.03497,3,37.02253263185989
Lebanon,exact,P,43.64229,-72.25176,3,25.500766904168557
Mid-Atlantic,exact,L,40.58629,-76.28807,3,20.316370099219853
Scotia Arc,Scotia,L,47.11678,-81.38306,3,43.51468058489986
Atlantic Cod,fuzzy,H,32.77144,-117.23754,9,38.92300635807667
Yellow Mediterranean Seas,Yellow,R,14.52744,121.14327,9,38.521736556264656
Boujdour,exact,P,26.13073,-14.48513,3,41.0876905478499
Lamongan,exact,A,-7.13333,112.31667,11,45.510053559389675
Lake Kubenskое,exact,H,59.62674,39.50649,3,14.097585901831733
Tecolutla,exact,A,20.38809,-97.02534,3,50.99687154284089
Southern Philippines,Southern,A,22.24112,114.20769,9,41.61822993028381
Antigua,exact,A,17.05,-61.8,2,59.31630394296965
Jekyll Island,exact,S,31.07447,-81.42778,3,47.81185028455991
Small Island Developing States,Small,P,32.74513,-95.85191,3,42.768435030437125
Southwestern Caribbean Sea,South Western,A,51.0,-3.16667,3,60.24350096392992
Gold Coast,exact,P,-28.00029,153.43088,13,55.97615750682688
Beibu Bay,exact,H,20.0,108.0,9,76.2353432132595
Halic,exact,A,48.32035,19.5892,3,21.03318285714433
Great Slave Lake,exact,H,61.50015,-114.00123,9,26.463432705198475
Cebu Island,exact,S,10.28738,124.00536,9,59.03939142060348
El Rodadero,exact,T,11.20145,-74.22812,3,44.504003135788096
Seine Bay,exact,H,-34.32326,115.1654,19,36.44708386547561
Kola Peninsula,exact,T,67.29948,37.55087,21,22.402518614592637
Southern Mediterranean Sea,Southern,A,22.24112,114.20769,9,41.61822993028381
Leiden,exact,P,52.15833,4.49306,3,37.9948974439725
Xinghu Lake,Xinghu,P,24.72075,108.1786,9,40.721288206706625
Kazakhstan,exact,A,48.0,68.0,3,66.7952888965439
Ile Cocos,exact,T,-19.72222,63.29722,18,32.58395349083154
Dordrecht,exact,P,51.81,4.67361,3,36.49169272654417
St Joseph,exact,P,39.76861,-94.84663,3,42.109491265892515
West Sumatera,exact,A,-1.0,100.5,17,55.59746332227938
Salas y Gómez,exact,T,-26.4722,-105.3619,12,14.087624065529432
Fars,exact,A,29.0,53.0,25,73.78432240784859
Chabahr bay,fuzzy,H,25.36768,60.51243,15,14.766162853217248
Pucusana,exact,P,-12.48333,-76.8,13,32.62150275254985
Prayagraj,exact,A,25.42012,81.88385,15,39.547453355345404
Baja California Chaparral,Baja,P,46.18299,18.95307,22,49.519312389664556
Gunungkidul,exact,P,-7.5316,108.5976,11,11.318610144914652
Sao Paulo State,Sao,L,22.2,-79.56667,3,34.05582098842015
Ogun River,exact,L,6.62569,3.43869,5,15.53062704533818
Nagaa Hammadi,fuzzy,P,26.04949,32.24142,26,56.339699688361286
U. stevenianus,Uracillo Centro,P,8.84755,-80.22002,11,49.40318625634607
Sanriku,exact,L,39.33333,142.0,9,46.77939620587996
Cape Boujdor,Cope,L,-39.07665,-72.66747,13,49.23128961361616
JM,exact,P,17.97102,-76.88691,2,66.50039757290199
Imus River,exact,H,14.46267,120.91802,9,45.19595138165857
Lagoon Pinqing,Lagoon,H,38.3295,-122.01289,9,46.481515884941984
Gulf Suez,exact,H,28.16667,33.45,26,37.38626851840786
Day River,exact,L,40.12829,-111.02544,9,57.68288591860628
Shelly Beach,exact,L,-36.56819,174.37019,13,13.856566747360914
St Lucia,exact,A,13.88333,-60.96667,2,66.0202545590566
Tecolutla River,exact,H,20.4743,-96.99941,3,52.09792235461021
Svalbard Archipelago,exact,A,78.0,20.0,21,56.738054355303504
Ban-ten,exact,P,20.26633,104.58256,9,27.370883447316103
Antarctica,exact,L,-78.15856,16.40626,20,38.02488817819223
Aquatina di Frigole,Aquavina,S,35.22384,-80.84625,3,43.91811053824494
Campania,exact,P,40.92849,14.20197,22,53.8616305008309
Yongxing Island,exact,S,16.83216,112.34355,8,40.52037951489083
Patch,exact,P,35.25274,-118.89593,9,45.216149406580904
Villefranche Bay,exact,H,43.7,7.31667,22,26.69275576135584
Macau,exact,P,22.20056,113.54611,9,33.6321905358109
Humber River,exact,H,53.54541,0.10471,3,92.37345040599887
Peel,exact,P,54.22209,-4.69099,3,33.28764492970012
Colombian Caribbean Coast,Colombia,A,4.0,-73.25,11,62.125665729478925
Pyrenees Mountains,Pyrenees,L,-37.11653,143.31356,19,45.71713651694807
Malacca Jetty,Malacca,P,2.196,102.2405,11,44.42833114759357
River Ravi,exact,H,30.62123,71.82683,15,34.073541518802145
Jurujuba,exact,P,-22.93333,-43.11667,7,62.18990812956503
River Congo,exact,H,-6.07746,12.42563,5,47.6979006203731
Wujiang,exact,P,27.24306,106.74306,9,37.313868027476325
Ceuta,exact,P,35.88919,-5.32042,3,46.21471293019039
Taipu River,fuzzy,H,-34.98333,173.46667,13,53.83005941971447
California Coastline,California,A,37.25022,-119.75126,9,35.55775172945597
White Iron Lake,exact,H,47.87263,-91.79362,3,46.90299292078724
Nantaizi Lake,Nantaizi,L,42.03079,116.91017,9,62.13929169578749
Ezbaran,exact,P,36.64952,52.48896,15,16.65506857546322
Calicut,exact,L,11.49802,75.96866,15,51.06708665062003
Langsa,exact,P,4.4683,97.9683,17,52.03271955793261
Dover,exact,P,39.15817,-75.52437,3,38.067513329330126
Cape Province,exact,A,-34.0,20.0,7,72.13197993110697
Delft,exact,P,52.00667,4.35556,3,55.729922071598146
Nazca,exact,P,-14.83098,-74.93895,13,59.86729444031115
Saigon Bay,exact,S,10.8188,106.65186,9,39.1409001657842
Menorca Channel,Menorca,A,40.0004,3.99997,22,69.90345655591814
Southeast Pacific,exact,U,-60.0,-115.0,20,62.06564062208868
Brigantine New Jersey,Brigantine,P,39.41012,-74.36459,3,15.331106815685223
HNP,exact,S,47.21877,-116.79987,9,38.57553411528095
Bandung City,exact,S,-6.92934,107.58723,11,48.702596549061276
Sangolquí,exact,A,-0.35548,-78.43578,11,127.46494299270937
Rayong,exact,P,12.68095,101.25798,9,33.08555578365849
Lower Saxony,exact,A,52.83333,9.16667,3,43.34777887861683
Sambian Peninsula,fuzzy,T,11.55,122.65,9,17.262752772421845
Kulon Progo,exact,A,-7.81256,110.15133,11,51.81090531723695
Phu Yen,exact,A,13.16667,109.08333,9,58.3629079325793
Subarnarekha,exact,H,21.56742,87.3595,15,16.352159700671237
Seribu,exact,P,1.10917,104.13762,11,59.25748362039924
Central Iranian Rivers,Central,L,55.75383,37.6224,3,29.251884154669053
Lagares,exact,A,40.40805,-7.86702,3,32.693836729115425
Southeastern China,fuzzy,S,37.11329,-115.58447,9,43.64436494121956
Phillip Island,exact,L,-38.48564,145.5229,19,2.553762622122338
King Penguins,King,P,36.28069,-80.35922,3,27.449576790755422
Qinghai-Tibet,exact,S,36.35593,95.18496,15,32.42040181904717
Svalbard,exact,A,78.15706,15.86426,21,39.003407906701355
Kuwait Bay,exact,H,29.43194,47.92556,25,41.8884495166241
Varano,exact,P,41.82832,15.77203,22,42.93513003755241
Nha Trang,exact,P,12.24507,109.19432,9,43.655800743300894
Galápagos,exact,A,-0.67015,-90.87341,10,101.18332689511209
Kwale,exact,A,-4.13333,39.2,17,52.61960724898211
Teluk Muara Kelayan,Teluk,P,-2.8912,104.0383,11,67.2460007915418
Northern Ionian,Northern,L,-20.04022,145.93238,13,68.17525853743878
Tuscany,exact,P,51.12432,-114.24494,9,45.37972821586061
Havel River,fuzzy,H,38.55123,-77.84805,3,30.808457803907835
Southwest Indian Ocean,exact,U,-43.0,40.0,18,68.78173352483853
Huaihe River Basin,Huaihe,A,33.0412,118.485,9,51.03528838435117
English Southwest Peninsula,English,L,48.06686,-81.28312,3,50.76612956729949
Chilika Lake,exact,H,19.73078,85.33656,15,30.84763450523602
Kilia,exact,L,19.54644,20.83674,3,35.666782885958106
Bitung,exact,P,1.44059,125.12824,10,41.84890798403497
Japan,exact,A,35.68536,139.75309,9,30.798089204066336
Superior,exact,P,40.02085,-98.07004,3,64.57333349184796
Iran,exact,A,32.0,53.0,25,72.81451629261255
North Pacific Subtropical Gyre,Grande Região Norte,L,-4.0,-60.0,5,78.51852969413663
Han Reservoir,fuzzy,H,40.02924,-100.28476,3,55.44047227837904
Rhone,exact,P,45.06667,4.83333,22,54.78861344823397
CORB,exact,T,56.26433,-3.61039,3,27.072175812044442
Overseas Territories,Overseal,P,52.73545,-1.56496,3,26.545593724954742
Shing Mun River,exact,H,22.37447,114.18092,9,35.64113805834379
Saskatoon,exact,P,52.13238,-106.66892,9,42.45945201815833
Canary archipelago,Canary,P,43.9279,-124.03539,8,60.483392461045085
Gazipur,exact,A,24.20689,90.47241,15,32.71195974290803
Great Siberian Rivers,Great River,H,18.44917,-77.99199,2,52.19434871764443
Nemmeli,exact,P,10.82431,79.25387,15,44.98697652793806
MENA,exact,P,34.58622,-94.23966,3,25.700035317287202
Qinhuangdao,exact,L,39.93333,119.61667,9,49.206586374529245
Changshan Archipelago,Changsha,P,28.19874,112.97087,9,56.96851729188611
Jamaica Bay,exact,L,40.61483,-73.8418,3,31.572633565413085
Têt River,exact,H,42.71278,2.97772,22,45.69903991466798
Savanna,exact,L,49.63332,-114.56871,9,15.630723131441785
Heard Island,exact,A,-53.11711,73.50952,20,42.58012336809907
Nanji Mountain,fuzzy,T,35.07375,-81.10313,3,59.531700414822105
San Teodoro,exact,P,40.77354,9.66929,22,33.603618088991304
North Brazil Current,Grande Região Norte,L,-4.0,-60.0,5,78.51852969413663
Jiulong River,Jiulong,P,41.207,121.62662,9,34.2514422709502
Talo Kapo Beach,Talo,L,28.05311,63.16057,15,59.783864184018206
Aegean,exact,L,38.96622,28.72059,22,55.25957633397022
Freiberger Mulde,exact,H,51.16004,12.79856,3,43.11915057840027
Norfolk Canyon,exact,U,37.06667,-74.66667,3,50.38986951736118
Xiamen Bay,exact,S,24.54404,118.12774,9,37.97685265326001
Sydney,exact,P,-33.86785,151.20732,13,49.05520893349577
Cuatunalco,exact,P,15.68806,-96.33861,9,27.13042945372146
Arabian Sea,exact,H,12.21118,64.33594,14,36.72804498057823
Aligadda beach,Aligadde,P,14.80052,74.12101,15,52.715942675779
Conception Group,Concepcion,P,15.32546,120.65723,9,25.704867179248758
Livingston Island,exact,T,-62.6,-60.5,20,11.119492664455182
Neches River,exact,P,30.08605,-94.10185,3,59.83298009953425
Aceh Besar,exact,A,5.4,95.5,17,11.1194926644558
Skallingen,exact,T,80.01667,-23.0,21,54.560480561730415
Magdalena River,exact,H,29.97659,-84.4374,3,53.33793861679855
Hamble estuary,Hamble-le-Rice,P,50.85966,-1.32432,3,41.864155183556214
Pattani Bay,fuzzy,H,37.19178,26.7952,22,43.07623977037294
Langkat Regency,exact,A,3.68528,98.21972,17,37.30867822802117
Maryland Coastal Bays,Maryland,A,39.00039,-76.74997,3,59.57811927647243
Bluegill Brazos,Blue Hill,P,40.33251,-98.44867,3,19.12428872601391
Okanagan Valley,exact,P,50.36386,-119.34997,9,18.49562084494963
Manavgat River,exact,H,36.73792,31.49282,22,26.46325633885067
Mar Chiquita,exact,H,-30.67296,-62.53589,7,19.53671255852194
Adana,exact,P,36.98615,35.32531,22,56.25374616586134
United Sates,exact,S,36.68811,-84.38876,3,23.1547351977033
Napuka,exact,S,-14.1768,-141.267,12,43.836411403329514
Kaohsiung,exact,P,22.61626,120.31333,9,23.120524605931312
