,Title,DOI,Author
2474,Heterogeneous weathering of polypropylene in the marine environment,10.1016/j.scitotenv.2021.152308,Scott J.W.
2475,Adsorption properties and influencing factors of Cu(II) on polystyrene and polyethylene terephthalate microplastics in seawater,10.1016/j.scitotenv.2021.152573,Wang X.
2476,"Binational survey of personal protective equipment (PPE) pollution driven by the COVID-19 pandemic in coastal environments: Abundance, distribution, and analytical characterization",10.1016/j.jhazmat.2021.128070,De-la-Torre G.E.
2477,Microplastic-oil-dispersant agglomerates in the marine environment: Formation mechanism and impact on oil dispersion,10.1016/j.jhazmat.2021.127825,Yang M.
2478,High-performance temperature and pressure dual-parameter sensor based on a polymer-coated tapered optical fiber,10.1364/OE.452355,Lu J.
2479,Biobased Seawater-Degradable Poly(butylene succinate- l -lactide) Copolyesters: Exploration of Degradation Performance and Degradation Mechanism in Natural Seawater,10.1021/acssuschemeng.1c07176,Liu T.Y.
2480,Microplastics in the Mediterranean: Variability From Observations and Model Analysis,10.3389/fmars.2022.784937,Tsiaras K.
2481,Landmark treaty on plastic pollution must put scientific evidence front and centre,10.1038/d41586-022-00648-9,
2482,Plastic and natural inorganic microparticles do not differ in their effects on adult mussels (Mytilidae) from different geographic regions,10.1016/j.scitotenv.2021.151740,Hamm T.
2483,From model to nature — A review on the transferability of marine (micro-) plastic fragmentation studies,10.1016/j.scitotenv.2021.151389,Born M.P.
2484,Accelerated degradation of low-density polyethylene in air and in sea water,10.1016/j.scitotenv.2021.151368,Andrady A.L.
2485,"Micro(nano)plastics Prevalence, Food Web Interactions, and Toxicity Assessment in Aquatic Organisms: A Review",10.3389/fmars.2022.851281,Benson N.U.
2486,Sensitive and specific capture of polystyrene and polypropylene microplastics using engineered peptide biosensors,10.1039/d1ra08701k,Woo H.
2487,An Increase of Seawater Temperature Upregulates the Expression of Vibrio parahaemolyticus Virulence Factors Implicated in Adhesion and Biofilm Formation,10.3389/fmicb.2022.840628,Billaud M.
2488,Ubiquitous vertical distribution of microfibers within the upper epipelagic layer of the western Mediterranean Sea,10.1016/j.ecss.2022.107741,Rios-Fuster B.
2489,Unraveling the plastic degradation potentials of the plastisphere-associated marine bacterial consortium as a key player for the low-density polyethylene degradation,10.1016/j.jhazmat.2021.128005,Joshi G.
2490,Ecological risk assessment of marine microplastics using the analytic hierarchy process: A case study in the Yangtze River Estuary and adjacent marine areas,10.1016/j.jhazmat.2021.127960,Zhang F.
2491,Thermoplastic modification of PVA by blending of two polyols and its melt spinning,10.13338/j.issn.1006-8341.2022.01.014,Zhang X.
2492,Non-negligible effects of uv irradiation on transformation and environmental risks of microplastics in the water environment,10.3390/jox12010001,Cheng F.
2493,AcceleratedDegradation of Poly(lactide acid)/Poly(hydroxybutyrate) (PLA/PHB) Yarns/Fabrics by UV and O<inf>2</inf> Exposure in South China Seawater,10.3390/polym14061216,Bao Q.
2494,"Distribution Features of Microplastic Particles in the Bolshiye Koty Bay (Lake Baikal, Russia) in Winter",10.22059/POLL.2021.328762.1159,Karnaukhov D.
2495,"Can the colors of beach-stranded plastic pellets in beaches provide additional information for the environmental monitoring? A case study around the Port of Santos, Brazil",10.22034/IAR.2022.1943050.1205,Mendes G.I.
2496,Soil Pollution with Microplastic in the Impact Area of a Plant Producing Expanded Polystyrene,10.1134/S1064229322030085,Kukharchyk T.I.
2497,The Occurrence of Microplastics in Sediment Cores from Two Mangrove Areas in Southern Thailand,10.3390/jmse10030418,Pradit S.
2498,A screening-level human health risk assessment for microplastics and organic contaminants in near-shore marine environments in American Samoa,10.1016/j.heliyon.2022.e09101,Polidoro B.
2499,"Biodegradable plastics in aquatic ecosystems: Latest findings, research gaps, and recommendations",10.1088/1748-9326/ac548d,Ribba L.
2500,A Rapid Method for Detecting Microplastics Based on Fluorescence Lifetime Imaging Technology (FLIM),10.3390/toxics10030118,Zhou F.
2501,An Assessment of Sea Surface and Seabed Macro Plastic Density in Northeastern Mediterranean Sea,10.22059/POLL.2021.331026.1192,Yılmaz A.B.
2502,Plastic Bottles for Sorting Floating Microplastics in Sediment,10.3390/jmse10030390,Asakura H.
2503,Microplastics: Impacts on corals and other reef organisms,10.1042/ETLS20210236,Pantos O.
2504,Data Provision for Science-Based FAD Fishery Management: Spanish FAD Management Plan as a Case Study,10.3390/su14063278,Báez J.C.
2505,An In Situ Experiment to Evaluate the Aging and Degradation Phenomena Induced by Marine Environment Conditions on Commercial Plastic Granules,10.3390/polym14061111,De Monte C.
2506,Microplastic uptake and gut retention time in Japanese anchovy (Engraulis japonicus) under laboratory conditions,10.1016/j.marpolbul.2022.113433,Ohkubo N.
2507,Presence of microplastics in two common dried marine fish species from Bangladesh,10.1016/j.marpolbul.2022.113430,Hasan J.
2508,Plastic Debris As a Vector for Bacterial Disease: An Interdisciplinary Systematic Review,10.1021/acs.est.1c05405,Beloe C.J.
2509,Evaluating Canada's single-use plastic mitigation policies via brand audit and beach cleanup data to reduce plastic pollution,10.1016/j.marpolbul.2022.113460,Baxter L.
2510,Abundance and characteristics of microplastics in gastrointestinal tracts and gills of croaker fish (Johnius dussumieri) from off Mumbai coastal waters of India,10.1016/j.marpolbul.2022.113473,Debbarma N.
2511,Occurrence of Microplastics in Harbour Seals (Phoca vitulina) and Grey Seals (Halichoerus grypus) from German Waters,10.3390/ani12050551,Philipp C.
2512,Degradation of plastics associated with the COVID-19 pandemic,10.1016/j.marpolbul.2022.113474,Pizarro-Ortega C.I.
2513,"Occurrence of microfibres in wild specimens of adult sea urchin Paracentrotus lividus (Lamarck, 1816) from a coastal area of the central Mediterranean Sea",10.1016/j.marpolbul.2022.113448,Murano C.
2514,"The past, present, and future of plastic pollution",10.1016/j.marpolbul.2022.113429,Williams A.T.
2515,A new model for the terminal settling velocity of microplastics,10.1016/j.marpolbul.2022.113449,Yu Z.
2516,"Microplastics in the surface sediments of Krossfjord-Kongsfjord system, Svalbard, Arctic",10.1016/j.marpolbul.2022.113452,Choudhary S.
2517,Volume-based assessment of coastal litter reveals a significant underestimation of marine litter from ocean-based activities in East Asia,10.1016/j.rsma.2022.102214,Schneider F.
2518,"Litter and plastic monitoring in the Indian marine environment: A review of current research, policies, waste management, and a roadmap for multidisciplinary action",10.1016/j.marpolbul.2022.113424,Sivadas S.K.
2519,"Characteristics of microplastics in the beach sediments of Marina tourist beach, Chennai, India",10.1016/j.marpolbul.2022.113409,Venkatramanan S.
2520,"Microplastic Ingestion by Fishes from Jamuna River, Bangladesh",10.32526/ennrj/20/202100164,Khan H.M.S.
2521,"Microplastic Pollution in the Inlet and Outlet Networks of Rawa Jombor Reservoir: Accumulation in Aquatic Fauna, Interactions with Heavy Metals, and Health Risk Assessment",10.32526/ennrj/20/202100200,Rahmayanti R.
2522,"Characteristics and spatiotemporal distribution of microplastics in sediments from a typical mariculture pond area in Qingduizi Bay, North Yellow Sea, China",10.1016/j.marpolbul.2022.113436,Chen L.
2523,Impact of intensive mariculture activities on microplastic pollution in a typical semi-enclosed bay: Zhanjiang Bay,10.1016/j.marpolbul.2022.113402,Chen F.
2524,Current status and future perspectives of microplastic pollution in typical cryospheric regions,10.1016/j.earscirev.2022.103924,Zhang Y.
2525,"Resightings of Magellanic penguins (Spheniscus magellanicus) rehabilitated and released in eastern Brazil, with remarks on injuries and feather damage caused by flipper bands",10.1007/s43388-022-00085-2,Bhering R.C.C.
2526,Chemical coupling between oxidation and hydrolysis in polyamide 6 - A key aspect in the understanding of microplastic formation,10.1016/j.polymdegradstab.2022.109851,Deshoulles Q.
2527,"Micro/nano-plastics occurrence, identification, risk analysis and mitigation: challenges and perspectives",10.1007/s11157-021-09609-6,Kiran B.R.
2528,"Riverine litter in a small urban river in Marseille, France: Plastic load and management challenges",10.1016/j.wasman.2022.01.015,Tramoy R.
2529,Analysis on advances and characteristics of microplastic pollution in China's lake ecosystems,10.1016/j.ecoenv.2022.113254,Cai X.
2530,Biodegradable and conventional microplastics posed similar toxicity to marine algae Chlorella vulgaris,10.1016/j.aquatox.2022.106097,Su Y.
2531,Evolution of prokaryotic colonisation of greenhouse plastics discarded into the environment,10.1016/j.ecoenv.2022.113213,Martínez-Campos S.
2532,"Correction to: Assessing COVID-19’s “known unknowns”: potential impacts on marine plastic pollution and fishing in the South China Sea (Maritime Studies, (2021), 20, 4, (459-474), 10.1007/s40152-021-00237-y)",10.1007/s40152-022-00258-1,Heazle M.
2533,From laissez-faire to action? Exploring perceptions of plastic pollution and impetus for action. Insights from Phu Quoc Island,10.1016/j.marpol.2021.104924,Kerber H.
2534,Source-sink process of microplastics in watershed-estuary-offshore system,10.1016/j.jclepro.2022.130612,Shi H.
2535,A learning approach for river debris detection,10.1016/j.jag.2022.102682,Solé Gómez À.
2536,Microplastic ingestion by coral as a function of the interaction between calyx and microplastic size,10.1016/j.scitotenv.2021.152333,Hankins C.
2537,"The contamination of microplastics in China's aquatic environment: Occurrence, detection and implications for ecological risk",10.1016/j.envpol.2021.118737,Zhang Z.
2538,Integrating Bayesian Belief Networks in a toolbox for decision support on plastic clean-up technologies in rivers and estuaries,10.1016/j.envpol.2021.118721,Leone G.
2539,"Microplastics in the high-altitude Himalayas: Assessment of microplastic contamination in freshwater lake sediments, Northwest Himalaya (India)",10.1016/j.chemosphere.2021.133354,Neelavannan K.
2540,Microplastics and bisphenol A hamper gonadal development of whiteleg shrimp (Litopenaeus vannamei) by interfering with metabolism and disrupting hormone regulation,10.1016/j.scitotenv.2021.152354,Han Y.
2541,"Micro (nano) plastics in wastewater: A critical review on toxicity risk assessment, behaviour, environmental impact and challenges",10.1016/j.chemosphere.2021.133169,Singh S.
2542,Contamination of the marine environment in Egypt and Saudi Arabia with personal protective equipment during COVID-19 pandemic: A short focus,10.1016/j.scitotenv.2021.152046,Hassan I.A.
2543,Microplastic abundance and distribution in surface water and sediment collected from the coastal area,10.22034/GJESM.2022.02.03,Takarina N.D.
2544,Modeling the EU plastic footprint: Exploring data sources and littering potential,10.1016/j.resconrec.2021.106086,Amadei A.M.
2545,"The occurrence and abundance of microplastics in surface water of the midstream and downstream of the Cisadane River, Indonesia",10.1016/j.chemosphere.2021.133071,Sulistyowati L.
2546,Generation patterns and consumer behavior of single-use plastic towards plastic-free university campuses,10.1016/j.chemosphere.2021.133059,Nguyen X.C.
2547,Biochemical features and early adhesion of marine Candida parapsilosis strains on high-density polyethylene,10.1111/jam.15369,Oliveira M.M.
2548,Microplastic-associated pathogens and antimicrobial resistance in environment,10.1016/j.chemosphere.2021.133005,Kaur K.
2549,The proliferation and colonization of functional bacteria on amorphous polyethylene terephthalate: Key role of ultraviolet irradiation and nonionic surfactant polysorbate 80 addition,10.1016/j.chemosphere.2021.132940,Cheng Y.
2550,Microplastic pollution in wild populations of decapod crustaceans: A review,10.1016/j.chemosphere.2021.132985,Yin J.
2551,Polystyrene nanoplastics diminish the toxic effects of Nano-TiO<inf>2</inf> in marine algae Chlorella sp.,10.1016/j.envres.2021.112400,Natarajan L.
2552,Microplastics in fillets of Mediterranean seafood. A risk assessment study,10.1016/j.envres.2021.112247,Ferrante M.
2553,"Microplastics in the environment and in commercially significant fishes of mud banks, an ephemeral ecosystem formed along the southwest coast of India",10.1016/j.envres.2021.112351,James K.
2554,A flexible risk assessment framework for marine plastic pollution that synthesizes waste management and ecological impact data,10.1016/j.marpol.2021.104833,Davis K.E.
2555,Biocatalytic depolymerization of waste polyester mooring lines from oil and gas offshore platforms made of poly(ethylene terephthalate) (PET),10.1002/jctb.6955,de Castro A.M.
2556,"Assessing the relationship between the abundance of microplastics in sediments, surface waters, and fish in the Iran southern shores",10.1007/s11356-021-17128-8,Agharokh A.
2557,"Effects of polypropylene, polyvinyl chloride, polyethylene terephthalate, polyurethane, high-density polyethylene, and polystyrene microplastic on Nelumbo nucifera (Lotus) in water and sediment",10.1007/s11356-021-17033-0,Esterhuizen M.
2558,"Anthropogenic litter in freshwater bodies and their estuaries: an empirical analysis in Lesvos, Greece",10.1007/s11356-021-16793-z,Aslam S.
2559,A systemic approach to tackling ocean plastic debris,10.1007/s10669-021-09832-0,De Matteis A.
2560,The potential effects of microplastics on human health: What is known and what is unknown,10.1007/s13280-021-01589-9,Blackburn K.
2561,Identifying Marine Sources of Beached Plastics Through a Bayesian Framework: Application to Southwest Netherlands,10.1029/2021GL097214,van Duinen B.
2562,Climate change influence on the levels and trends of persistent organic pollutants (POPs) and chemicals of emerging Arctic concern (CEACs) in the Arctic physical environment - a review,10.1039/d1em00485a,Hung H.
2563,Effects of polystyrene microplastics on the seed germination of herbaceous ornamental plants,10.1016/j.scitotenv.2021.151100,Guo M.
2564,Microplastics in a pelagic dolphinfish (Coryphaena hippurus) from the Eastern Pacific Ocean and the implications for fish health,10.1016/j.scitotenv.2021.151126,Li W.
2565,Inter-storm variation in microplastic concentration and polymer type at stormwater outfalls and a bioretention basin,10.1016/j.scitotenv.2021.151104,Boni W.
2566,A review on microplastics separation techniques from environmental media,10.1016/j.jclepro.2022.130458,Nabi I.
2567,Microplastics in Asian freshwater ecosystems: Current knowledge and perspectives,10.1016/j.scitotenv.2021.151989,Phuong N.N.
2568,Physical and chemical threats posed by micro(nano)plastic to sea urchins,10.1016/j.scitotenv.2021.152105,Manzo S.
2569,The synergic toxicity of temperature increases and nanopolystrene on zebrafish brain implies that global warming may worsen the current risk based on plastic debris,10.1016/j.scitotenv.2021.152092,Sulukan E.
2570,Polystyrene nanoplastics affect digestive function and growth in juvenile groupers,10.1016/j.scitotenv.2021.152098,Wang Q.
2571,Sorption behaviors of petroleum on micro-sized polyethylene aging for different time in seawater,10.1016/j.scitotenv.2021.152070,Gao L.
2572,"Microplastic pollution in the water and sediment of Krukut River, Jakarta, Indonesia",10.1088/1755-1315/986/1/012084,Azizi A.
2573,Toward an All-Optical Fingerprint of Synthetic and Natural Microplastic Fibers by Polarization-Sensitive Holographic Microscopy,10.1021/acsphotonics.1c01781,Běhal J.
2574,Microplastics in Aquatic Environments: Recent Advances in Separation Techniques,10.3311/PPch.18930,Saboor F.H.
2575,Fate and Effects of Macro- and Microplastics in Coastal Wetlands,10.1021/acs.est.1c06732,Ouyang X.
2576,Cell size matters: Nano- and micro-plastics preferentially drive declines of large marine phytoplankton due to co-aggregation,10.1016/j.jhazmat.2021.127488,Dedman C.J.
2577,Environmental fate of microplastics in the world's third-largest river: Basin-wide investigation and microplastic community analysis,10.1016/j.watres.2021.118002,Yuan W.
2578,Synthetic microfibers and tyre wear particles pollution in aquatic systems: Relevance and mitigation strategies,10.1016/j.envpol.2021.118607,Arias A.H.
2579,New insights into the functioning and structure of the PE and PP plastispheres from the Mediterranean Sea,10.1016/j.envpol.2021.118678,Delacuvellerie A.
2580,Marine macroalgae waste: A potential feedstock for biogas production,10.1016/j.jenvman.2021.114309,Pardilhó S.
2581,"Model-based estimation of plastic debris accumulation in Banten Bay, Indonesia, using particle tracking - Flow model hydrodynamics approach",10.1016/j.ocecoaman.2021.106009,Wisha U.J.
2582,Speciation and release risk of heavy metals bonded on simulated naturally-aged microplastics prepared from artificially broken macroplastics,10.1016/j.envpol.2021.118695,Chen G.
2583,Enhanced microbial degradation of PET and PS microplastics under natural conditions in mangrove environment,10.1016/j.jenvman.2021.114273,Auta H.S.
2584,Microplastics increase the accumulation of phenanthrene in the ovaries of marine medaka (Oryzias melastigma) and its transgenerational toxicity,10.1016/j.jhazmat.2021.127754,Li Y.
2585,"Accumulation of microplastics in tadpoles from different functional zones in Hangzhou Great Bay Area, China: Relation to growth stage and feeding habits",10.1016/j.jhazmat.2021.127665,Hu L.
2586,"Microplastics in the bogue, Boops boops: A snapshot of the past from the southern Tyrrhenian Sea",10.1016/j.jhazmat.2021.127669,Bottari T.
2587,Critical steps for microplastics characterization from the atmosphere,10.1016/j.jhazmat.2021.127668,dos Santos Galvão L.
2588,Understanding the hazards induced by microplastics in different environmental conditions,10.1016/j.jhazmat.2021.127630,Kim T.
2589,Microbial adaptation to co-occurring vanadium and microplastics in marine and riverine environments,10.1016/j.jhazmat.2021.127646,Yin W.
2590,Dispersion and transport of microplastics in three water-saturated coastal soils,10.1016/j.jhazmat.2021.127614,Gui X.
2591,Microplastics in equatorial coasts: Pollution hotspots and spatiotemporal variations associated with tropical monsoons,10.1016/j.jhazmat.2021.127626,Jong M.C.
2592,"An assessment of micro- and nanoplastics in the biosphere: A review of detection, monitoring, and remediation technology",10.1016/j.cej.2021.132913,Patil S.M.
2593,Secondary PVC microplastics are more toxic than primary PVC microplastics to Oryzias melastigma embryos,10.1016/j.jhazmat.2021.127421,Xia B.
2594,Forecasting plastic waste generation and interventions for environmental hazard mitigation,10.1016/j.jhazmat.2021.127330,Fan Y.V.
2595,Missing relationship between meso- and microplastics in adjacent soils and sediments,10.1016/j.jhazmat.2021.127234,Xu L.
2596,Is It All About the Data? How Extruded Polystyrene Escaped Single-Use Plastic Directive Market Restrictions,10.3389/fmars.2021.817707,Troya M.D.C.
2597,"Abundance and Characterization of Microplastics in Main Urban Ditches Across the Bahir Dar City, Ethiopia",10.3389/fenvs.2022.831417,Mhiret Gela S.
2598,Spatial Distribution and Composition of Surface Microplastics in the Southwestern South China Sea,10.3389/fmars.2022.830318,Yu J.
2599,Modified Cotton Sponge with Bio-Based Polybenzoxazine for Plasticizer Absorption and Oil-Water Separation,10.1021/acsapm.1c01408,Periyasamy T.
2600,Microplastics in fish meals: An exposure route for aquaculture animals,10.1016/j.scitotenv.2021.151049,Wang Q.
2601,Polymer quantification using the Rock-Eval® device for identification of plastics in sediments,10.1016/j.scitotenv.2021.151068,Romero-Sarmiento M.F.
2602,Comparative role of microplastics and microalgae as vectors for chlorpyrifos bioacumulation and related physiological and immune effects in mussels,10.1016/j.scitotenv.2021.150983,Fernández B.
2603,Polylactic acid face masks: Are these the sustainable solutions in times of COVID-19 pandemic?,10.1016/j.scitotenv.2021.151084,Soo X.Y.D.
2604,"Occurrence, stability and source identification of small size microplastics in the Jiayan reservoir, China",10.1016/j.scitotenv.2021.150832,Niu J.
2605,Effects of extremely high concentrations of polystyrene microplastics on asexual reproduction and nematocyst discharge in the jellyfish Sanderia malayensis,10.1016/j.scitotenv.2021.150988,Eom H.J.
2606,Continental patterns in marine debris revealed by a decade of citizen science,10.1016/j.scitotenv.2021.150742,Gacutan J.
2607,New insights on aging mechanism of microplastics using PARAFAC analysis: Impact on 4-nitrophenol removal via Statistical Physics Interpretation,10.1016/j.scitotenv.2021.150819,Priyanka M.
2608,Occurrence of microplastics in edible aquatic insect Pantala sp. (Odonata: Libellulidae) from rice fields,10.7717/peerj.12902,Maneechan W.
2609,"Microplastic Distribution and Influence Factor Analysis of Seawater and Surface Sediments in a Typical Bay With Diverse Functional Areas: A Case Study in Xincun Lagoon, China",10.3389/fenvs.2022.829942,Wei Y.
2610,Occurrence of microplastics in commercial marine dried fish in Asian countries,10.1016/j.jhazmat.2021.127093,Piyawardhana N.
2611,Is microplastic an oxidative stressor? Evidence from a meta-analysis on bivalves,10.1016/j.jhazmat.2021.127211,Li Z.
2612,Characterization of atmospheric aerosols in the Antarctic region using Raman Spectroscopy and Scanning Electron Microscopy,10.1016/j.saa.2021.120452,Marina-Montes C.
2613,Towards understanding the impact of plastics on freshwater and marine microalgae: A review of the mechanisms and toxicity endpoints,10.1016/j.jhazmat.2021.127174,Nam S.H.
2614,Ecological interception effect of mangroves on microplastics,10.1016/j.jhazmat.2021.127231,Liu X.
2615,A novel method for the quantification of tire and polymer-modified bitumen particles in environmental samples by pyrolysis gas chromatography mass spectroscopy,10.1016/j.jhazmat.2021.127092,Rødland E.S.
2616,Weathering pathways and protocols for environmentally relevant microplastics and nanoplastics: What are we missing?,10.1016/j.jhazmat.2021.126955,Alimi O.S.
2617,Parental exposure to sulfamethazine and nanoplastics alters the gut microbial communities in the offspring of marine madaka (Oryzias melastigma),10.1016/j.jhazmat.2021.127003,He S.
2618,"Adverse effects of dietary virgin (nano)microplastics on growth performance, immune response, and resistance to ammonia stress and pathogen challenge in juvenile sea cucumber Apostichopus japonicus (Selenka)",10.1016/j.jhazmat.2021.127038,Liu J.
2619,Microplastics influence on Hg methylation in diverse paddy soils,10.1016/j.jhazmat.2021.126895,Yang X.
2620,Ecosafety Screening of Photo-Fenton Process for the Degradation of Microplastics in Water,10.3389/fmars.2021.791431,Piazza V.
2621,Surface Characteristics Together With Environmental Conditions Shape Marine Biofilm Dynamics in Coastal NW Mediterranean Locations,10.3389/fmars.2021.746383,Briand J.F.
2622,"Occurrence of Microplastic Pollution in the Beibu Gulf, the Northern South China Sea",10.3389/fmars.2021.821008,Zhu Z.
2623,Progresses and future prospects in biodegradation of marine biopolymers and emerging biopolymer-based materials for sustainable marine ecosystems†,10.1039/d1gc04327g,Samalens F.
2624,"Occurrence and Distribution of Microplastics in Soils and Intertidal Sediments at Fildes Bay, Maritime Antarctica",10.3389/fmars.2021.774055,Perfetti-Bolaño A.
2625,"ABUNDANCE, UPTAKE, PRESENCE AND BIODEGRADATION OF MICROPLASTICS IN MALAYSIAN CONTEXT: A SYSTEMATIC LITERATURE REVIEW",10.46754/jssm.2022.02.016,Ibrahim N.A.
2626,"Potential of Recycle Marine Debris in Pluit Emplacement, Jakarta to Achieve Sustainable Reduction of Marine Waste Generation",10.18280/ijsdp.170111,Sari M.M.
2627,Microplastic Extraction from the Sediment Using Potassium Formate Water Solution (H<inf>2</inf>O/KCOOH),10.3390/min12020269,Jarosz K.
2628,A coupled Lagrangian-Eulerian model for microplastics as vectors of contaminants applied to the Mediterranean Sea,10.1088/1748-9326/ac4fd9,Guerrini F.
2629,Living in a bottle: Bacteria from sediment-associated Mediterranean waste and potential growth on polyethylene terephthalate,10.1002/mbo3.1259,Vidal-Verdú À.
2630,"Genotoxic Properties of Polystyrene (PS) Microspheres in the Filter-Feeder Mollusk Mytilus trossulus (Gould, 1850)",10.3390/jmse10020273,Chelomin V.P.
2631,Zonal Distribution Characteristics of Microplastics in the Southern Indian Ocean and the Influence of Ocean Current,10.3390/jmse10020290,Li J.
2632,A New Wave of Industrialization of PHA Biopolyesters,10.3390/bioengineering9020074,Koller M.
2633,"Feeding Habits and the Occurrence of Anthropogenic Debris in the Stomach Content of Marine Fish from Pattani Bay, Gulf of Thailand",10.3390/biology11020331,Soe K.K.
2634,Roadmap for Long-Term Macroplastic Monitoring in Rivers,10.3389/fenvs.2021.802245,van Emmerik T.
2635,Anthropogenic microfibres flux in an Antarctic coastal ecosystem: The tip of an iceberg?,10.1016/j.marpolbul.2022.113388,Alurralde G.
2636,Empowering Local Practitioners to Collect and Report on Anthropogenic Riverine and Marine Debris Using Inexpensive Methods in India,10.3390/su14031928,Owens K.A.
2637,"Marine biofouling organisms on beached, buoyant and benthic plastic debris in the Catalan Sea",10.1016/j.marpolbul.2022.113405,Subías-Baratau A.
2638,Public Perceptions of Legislative Action to Reduce Plastic Pollution: A Case Study of Atlantic Canada,10.3390/su14031852,Molloy S.
2639,Study on the Propeller Rope Cutter Concerning Transient Torsional Vibration due to Cutting Action,10.3390/app12031628,Kwon W.S.
2640,"Quantification of polyethylene terephthalate microplastics and nanoplastics in sands, indoor dust and sludge using a simplified in-matrix depolymerization method",10.1016/j.marpolbul.2022.113403,Tian L.
2641,"Distribution, characteristics, and human exposure to microplastics in mangroves within the Guangdong-Hong Kong-Macao Greater Bay Area",10.1016/j.marpolbul.2022.113395,Yu L.
2642,"Anthropogenic debris in Kelp Gull and other seabird nests in northern Patagonia, Argentina",10.1016/j.marpolbul.2022.113404,Yorio P.
2643,The influence of monsoons on the spatial distribution and composition of floating marine litter,10.1016/j.marpolbul.2022.113386,Okuku E.O.
2644,Covid-19-derived plastic debris contaminating marine ecosystem: Alert from a sea turtle,10.1016/j.marpolbul.2022.113389,Fukuoka T.
2645,"A comprehensive approach to assess marine macro litter pollution and its impacts on corals in the Bangka Strait, North Sulawesi, Indonesia",10.1016/j.marpolbul.2022.113369,Mueller J.S.
2646,Abundance and Characteristics of Microplastics Contaminating the Surface Water of the Inner Gulf of Thailand,10.1007/s11270-022-05531-x,Vibhatabandhu P.
2647,"Microplastics prevalence in water, sediment and two economically important species of fish in an urban riverine system in Ghana",10.1371/journal.pone.0263196,Blankson E.R.
2648,"Seasonal tendencies of microplastics around coral reefs in selected Marine Protected National Parks of Gulf of California, Mexico",10.1016/j.marpolbul.2022.113333,Arreola-Alarcón I.M.
2649,Four plastic additives reduce larval growth and survival in the sea urchin Strongylocentrotus purpuratus,10.1016/j.marpolbul.2022.113385,Shore E.A.
2650,"Assessment and sources identification of microplastics, PAHs and OCPs in the Luoyuan Bay, China: Based on multi-statistical analysis",10.1016/j.marpolbul.2022.113351,Peng B.
2651,Highly Active Biphasic Anatase-Rutile Ni-Pd/TNPs Nanocatalyst for the Reforming and Cracking Reactions of Microplastic Waste Dissolved in Phenol,10.1021/acsomega.1c05488,Nabgan W.
2652,"Abandoned, lost, or discarded fishing gear at urban coastlines",10.1016/j.marpolbul.2022.113341,Gajanur A.R.
2653,Environmental and Economic Impacts of Mismanaged Plastics and Measures for Mitigation,10.3390/environments9020015,Diggle A.
2654,Characterization of floating microplastic contamination in the bay of Marseille (French Mediterranean Sea) and its impact on zooplankton and mussels,10.1016/j.marpolbul.2022.113353,Gérigny O.
2655,Pixel-level image classification for detecting beach litter using a deep learning approach,10.1016/j.marpolbul.2022.113371,Hidaka M.
2656,Assessment of seasonal variability of input of microplastics from the Northern Dvina River to the Arctic Ocean,10.1016/j.marpolbul.2022.113370,Igor Z.
2657,"Spatiotemporal macro debris and microplastic variations linked to domestic waste and textile industry in the supercritical Citarum River, Indonesia",10.1016/j.marpolbul.2022.113338,Cordova M.R.
2658,"Urban drainage channels as microplastics pollution hotspots in developing areas: A case study in Da Nang, Vietnam",10.1016/j.marpolbul.2022.113323,Tran-Nguyen Q.A.
2659,"Distribution and characterization of plastic debris pollution along the Poompuhar Beach, Tamil Nadu, Southern India",10.1016/j.marpolbul.2022.113337,Neelavannan K.
2660,"Potentially toxic elements and microplastics in muscle tissues of different marine species from the Persian Gulf: Levels, associated risks, and trophic transfer",10.1016/j.marpolbul.2021.113283,Ahmadi A.
2661,In an octopus's garden in the shade: Underwater image analysis of litter use by benthic octopuses,10.1016/j.marpolbul.2022.113339,Freitas T.B.N.
2662,Co-Exposure with an Invasive Seaweed Exudate Increases Toxicity of Polyamide Microplastics in the Marine Mussel Mytilus galloprovincialis,10.3390/toxics10020043,Rodrigues F.G.
2663,Microplastic Pollution: An Emerging Threat to Terrestrial Plants and Insights into Its Remediation Strategies,10.3390/plants11030340,Kumari A.
2664,Nanoplastics Increase Fish Susceptibility to Nodavirus Infection and Reduce Antiviral Immune Responses,10.3390/ijms23031483,González-Fernández C.
2665,The ingestion of large plastics by recreationally caught southern bluefin tuna Thunnus maccoyii off southern Australia,10.1016/j.marpolbul.2022.113332,Yick J.L.
2666,Micro-Nano Plastic in the Aquatic Environment: Methodological Problems and Challenges,10.3390/ani12030297,Uddin S.
2667,"Effects of microplastics on the feeding rates of larvae of a coastal fish: direct consumption, trophic transfer, and effects on growth and survival",10.1007/s00227-021-04010-x,Uy C.A.
2668,Sub-acute exposure to nanoplastics via two-chain trophic transfer: From brine shrimp Artemia franciscana to small yellow croaker Larimichthys polyactis,10.1016/j.marpolbul.2021.113314,Kim L.
2669,Biotechnological Aspects and Mathematical Modeling of the Biodegradation of Plastics under Controlled Conditions,10.3390/polym14030375,Baldera-Moreno Y.
2670,Determination of the pharmaceuticals–nano/microplastics in aquatic systems by analytical and instrumental methods,10.1007/s10661-022-09751-w,Pashaei R.
2671,The microplastic pattern of wild-caught Mediterranean mussels from the Marmara Sea,10.1016/j.marpolbul.2022.113331,Gedik K.
2672,The synergistic effect of microplastic and malathion exposure on fiddler crab Minuca ecuadoriensis microplastic bioaccumulation and survival,10.1016/j.marpolbul.2022.113336,Villegas L.
